ukcode,jycode,inputcode,chabbr,windcode
1114419,433,ZHFJ,000768,中航飞机,000768.SZ
1114421,489,CXFZ,000838,财信发展,000838.SZ
1114422,419,STSW,000755,*ST 三维,000755.SZ
1114423,422,HWGF,000757,浩物股份,000757.SZ
1114424,425,STE,000760,斯 太 尔,000760.SZ
1114425,408,ZHKJ,000733,振华科技,000733.SZ
1114426,452,KSLY,000796,凯撒旅游,000796.SZ
1114427,407,THJT,000732,泰禾集团,000732.SZ
1114429,428,XZKY,000762,西藏矿业,000762.SZ
1114430,415,GHZQ,000750,国海证券,000750.SZ
1114431,436,ZHKJ,000777,中核科技,000777.SZ
1114432,442,WHZS,000785,武汉中商,000785.SZ
1114433,453,ZGWY,000797,中国武夷,000797.SZ
1114434,403,YJPJ,000729,燕京啤酒,000729.SZ
1114435,455,JGJ,000799,酒 鬼 酒,000799.SZ
1114436,503,AKKC,000868,安凯客车,000868.SZ
1114437,113,YTG,000088,盐 田 港,000088.SZ
1114438,450,HWCM,000793,华闻传媒,000793.SZ
1114439,441,CJZQ,000783,长江证券,000783.SZ
1114440,420,XHZY,000756,新华制药,000756.SZ
1114441,451,YLH,000795,英 洛 华,000795.SZ
1114442,469,ZHNY,000816,智慧农业,000816.SZ
1114443,449,YHGF,000792,盐湖股份,000792.SZ
1114444,109,HQCA,000069,华侨城Ａ,000069.SZ
1114446,446,WNQ,000789,万 年 青,000789.SZ
1114447,501,SXYX,000863,三湘印象,000863.SZ
1114448,487,XMKJ,000836,鑫茂科技,000836.SZ
1114449,476,CSDZ,000823,超声电子,000823.SZ
1114450,448,GSDT,000791,甘肃电投,000791.SZ
1114451,471,FDHG,000818,方大化工,000818.SZ
1114452,517,EMSA,000888,峨眉山Ａ,000888.SZ
1114453,490,ZXGA,000839,中信国安,000839.SZ
1114455,491,CDLL,000848,承德露露,000848.SZ
1114456,105,ZXTX,000063,中兴通讯,000063.SZ
1114457,530,GNGF,000899,赣能股份,000899.SZ
1114458,481,TYKG,000829,天音控股,000829.SZ
1114459,518,MYTX,000889,茂业通信,000889.SZ
1114460,527,AGGF,000898,鞍钢股份,000898.SZ
1114461,458,BJWH,000802,北京文化,000802.SZ
1114462,426,BGBC,000761,本钢板材,000761.SZ
1114463,525,YNKG,001896,豫能控股,001896.SZ
1114464,515,HNGS,000886,海南高速,000886.SZ
1114465,454,ZSYY,000798,中水渔业,000798.SZ
1114466,175,YGSA,000429,粤高速Ａ,000429.SZ
1114467,478,QDSD,000826,启迪桑德,000826.SZ
1114468,459,STJY,000803,*ST 金宇,000803.SZ
1114469,507,XXW,000876,新 希 望,000876.SZ
1114470,447,THJK,000790,泰合健康,000790.SZ
1114471,510,WCZJ,000880,潍柴重机,000880.SZ
1114472,462,YLGF,000807,云铝股份,000807.SZ
1114473,461,YHSW,000806,银河生物,000806.SZ
1114474,114,SZJC,000089,深圳机场,000089.SZ
1114475,496,WLY,000858,五 粮 液,000858.SZ
1114476,457,SCJZ,000801,四川九洲,000801.SZ
1114478,467,DZJK,000813,德展健康,000813.SZ
1114479,513,HBNY,000883,湖北能源,000883.SZ
1114480,465,YTBL,000811,烟台冰轮,000811.SZ
1114483,464,CWSZ,000810,创维数字,000810.SZ
1114484,509,YNTY,000878,云南铜业,000878.SZ
1114485,106,BFGJ,000065,北方国际,000065.SZ
1114486,468,MLY,000815,美 利 云,000815.SZ
1114487,493,GHGF,000851,高鸿股份,000851.SZ
1114488,463,STXC,000809,*ST 新城,000809.SZ
1114489,512,HLGF,000882,华联股份,000882.SZ
1114490,466,SXJY,000812,陕西金叶,000812.SZ
1114491,474,JSQJ,000821,京山轻机,000821.SZ
1114492,473,SWJN,000820,神雾节能,000820.SZ
1114493,475,SDHH,000822,山东海化,000822.SZ
1114494,482,LXHG,000830,鲁西化工,000830.SZ
1114495,495,JDZB,000856,冀东装备,000856.SZ
1114497,511,ZGHJ,000881,中广核技,000881.SZ
1114498,483,WKXT,000831,五矿稀土,000831.SZ
1114499,500,YXNY,000862,银星能源,000862.SZ
1114500,265,WFGK,000581,威孚高科,000581.SZ
1114501,488,QCJC,000837,秦川机床,000837.SZ
1114502,492,HMGF,000850,华茂股份,000850.SZ
1114504,477,TGBX,000825,太钢不锈,000825.SZ
1114505,499,HYGF,000861,海印股份,000861.SZ
1114506,498,SXNY,000860,顺鑫农业,000860.SZ
1114507,485,GTGF,000833,贵糖股份,000833.SZ
1114508,497,GFSY,000859,国风塑业,000859.SZ
1114509,494,SHJX,000852,石化机械,000852.SZ
1114510,516,ZDGF,000887,中鼎股份,000887.SZ
1114511,522,SHFZ,000895,双汇发展,000895.SZ
1114512,112,HWSW,000078,海王生物,000078.SZ
1114513,521,DLGJ,000893,东凌国际,000893.SZ
1114514,508,TSGF,000877,天山股份,000877.SZ
1114515,520,HRSJ,000892,欢瑞世纪,000892.SZ
1114516,519,FES,000890,法 尔 胜,000890.SZ
1114517,531,XDTZ,000900,现代投资,000900.SZ
1114518,537,JFYY,000908,景峰医药,000908.SZ
1114519,556,ZGGJ,000928,中钢国际,000928.SZ
1114520,514,TLSN,000885,同力水泥,000885.SZ
1114521,545,DGCM,000917,电广传媒,000917.SZ
1114522,532,HTKJ,000901,航天科技,000901.SZ
1114523,533,XYF,000902,新 洋 丰,000902.SZ
1114524,534,YNDL,000903,云内动力,000903.SZ
1114525,526,JBFZ,000897,津滨发展,000897.SZ
1114526,535,XMGW,000905,厦门港务,000905.SZ
1114527,538,SYKJ,000909,数源科技,000909.SZ
1114528,542,QJMT,000913,钱江摩托,000913.SZ
1114529,540,NNTY,000911,南宁糖业,000911.SZ
1114530,541,LTH,000912,泸 天 化,000912.SZ
1114531,543,SDHT,000915,山大华特,000915.SZ
1114532,553,ZHKJ,000925,众合科技,000925.SZ
1114533,548,NFHT,000920,南方汇通,000920.SZ
1114534,551,STJD,000922,*ST 佳电,000922.SZ
